,Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Passed
32378,S32379,20.3,74.6,53.0,Yes,High School,No
32379,S32380,3.4,84.5,44.5,Yes,High School,Yes
32380,S32381,9.8,55.9,66.3,No,High School,No
32382,S32383,11.7,81.4,59.8,Yes,Bachelor,No
32383,S32384,3.3,45.2,57.0,Yes,Associate,Yes
32384,S32385,15.5,60.1,67.6,Yes,Associate,Yes
32386,S32387,3.0,66.1,64.0,Yes,Master,Yes
32389,S32390,11.2,96.2,45.8,No,Master,No
32392,S32393,14.6,74.7,54.5,Yes,Master,Yes
32395,S32396,11.4,61.5,62.3,No,Master,Yes
32396,S32397,16.5,29.5,39.3,Yes,Master,Yes
32400,S32401,13.6,77.0,71.7,No,Associate,No
32401,S32402,6.9,79.3,31.3,Yes,Bachelor,Yes
32402,S32403,10.5,97.5,64.5,No,Bachelor,Yes
32405,S32406,5.5,89.7,69.2,Yes,High School,Yes
32407,S32408,10.1,64.8,54.4,Yes,Master,No
32410,S32411,18.0,97.1,66.4,Yes,Master,Yes
32411,S32412,14.1,77.5,56.6,Yes,Master,Yes
32413,S32414,9.4,57.6,42.7,No,Master,No
32414,S32415,25.0,90.3,48.0,No,Master,No
32415,S32416,10.6,62.2,70.4,Yes,Associate,No
32416,S32417,0.1,79.6,83.9,Yes,Master,Yes
32420,S32421,13.6,39.7,61.2,No,High School,Yes
32422,S32423,5.6,62.3,53.0,Yes,High School,Yes
32423,S32424,10.7,88.8,70.4,Yes,Master,Yes
32425,S32426,13.9,53.2,29.1,No,High School,No
32426,S32427,12.8,47.7,60.8,Yes,Associate,No
32427,S32428,24.7,89.5,91.1,No,Associate,No
32428,S32429,7.8,33.5,57.7,Yes,High School,Yes
32429,S32430,8.5,96.1,57.2,Yes,High School,No
32430,S32431,9.2,49.3,73.1,No,Master,No
32432,S32433,15.1,51.6,76.7,Yes,Master,No
32435,S32436,12.9,72.3,78.5,Yes,Master,No
32437,S32438,6.3,66.9,87.3,Yes,Bachelor,Yes
32438,S32439,15.2,77.1,70.6,Yes,Master,Yes
32439,S32440,10.1,84.4,67.4,No,Associate,No
32442,S32443,9.7,33.9,50.6,No,Bachelor,Yes
32443,S32444,6.8,64.8,75.1,No,High School,Yes
32444,S32445,16.8,66.4,63.1,Yes,High School,No
32445,S32446,13.6,87.6,78.0,Yes,Associate,Yes
32447,S32448,9.1,54.6,52.4,Yes,Bachelor,No
32448,S32449,10.5,80.9,66.5,No,Bachelor,No
32449,S32450,10.0,88.1,65.8,Yes,High School,Yes
32451,S32452,0.5,90.5,63.0,Yes,Master,No
32453,S32454,9.4,69.5,38.2,No,Master,Yes
32455,S32456,14.1,43.4,66.4,Yes,High School,No
32456,S32457,8.9,77.8,66.4,No,Associate,No
32457,S32458,19.4,58.1,61.0,Yes,Associate,No
32458,S32459,7.2,75.6,50.5,Yes,High School,Yes
32461,S32462,12.2,98.8,67.6,Yes,Associate,Yes
32462,S32463,15.3,77.5,78.7,No,High School,Yes
32467,S32468,8.5,49.9,59.4,Yes,Associate,No
32468,S32469,13.4,69.5,78.2,No,Master,No
32470,S32471,15.8,43.4,83.5,Yes,Associate,No
32471,S32472,8.2,52.4,52.9,No,Master,Yes
32474,S32475,18.5,61.8,85.4,Yes,Master,Yes
32476,S32477,6.9,89.3,71.6,Yes,Master,No
32480,S32481,17.9,73.6,73.8,Yes,Master,Yes
32484,S32485,12.1,91.3,72.8,Yes,Bachelor,Yes
32485,S32486,4.1,63.9,70.2,No,Associate,Yes
32487,S32488,12.9,91.6,88.0,Yes,Bachelor,No
32488,S32489,6.3,71.2,87.1,Yes,Associate,No
32489,S32490,14.8,94.6,60.4,Yes,Master,Yes
32490,S32491,8.6,70.3,94.6,No,Master,Yes
32492,S32493,17.7,86.7,68.0,No,Bachelor,No
32493,S32494,5.4,67.2,62.1,Yes,Master,No
32495,S32496,12.1,76.4,93.9,No,Associate,No
32496,S32497,11.9,80.8,77.7,No,Associate,No
32498,S32499,5.1,62.1,57.9,Yes,Master,Yes
32499,S32500,18.5,78.3,58.1,Yes,Bachelor,No
32502,S32503,3.3,53.8,68.3,No,Master,No
32504,S32505,13.3,50.4,83.7,Yes,Associate,No
32507,S32508,3.3,71.8,32.1,Yes,Bachelor,No
32508,S32509,5.7,76.2,77.8,Yes,Master,No
32509,S32510,2.9,77.7,64.1,Yes,High School,Yes
32510,S32511,11.2,65.6,96.1,Yes,Bachelor,Yes
32511,S32512,15.6,50.6,71.5,No,Master,No
32512,S32513,11.7,96.2,50.8,Yes,Master,Yes
32513,S32514,12.3,78.1,44.1,Yes,High School,Yes
32514,S32515,10.8,64.0,66.0,No,Associate,No
32516,S32517,12.3,74.9,58.7,Yes,High School,Yes
32520,S32521,8.2,84.3,58.2,Yes,Associate,Yes
32521,S32522,0.1,83.8,56.9,Yes,Associate,Yes
32523,S32524,11.6,55.0,90.6,No,Master,Yes
32524,S32525,7.8,69.1,51.9,No,High School,Yes
32526,S32527,15.4,92.3,61.4,No,Bachelor,No
32528,S32529,10.7,85.4,64.2,Yes,Associate,No
32529,S32530,11.7,99.4,57.5,No,Bachelor,Yes
32530,S32531,5.9,70.6,62.0,Yes,High School,No
32533,S32534,15.9,92.9,60.6,No,High School,Yes
32535,S32536,19.6,86.9,75.7,No,Bachelor,No
32536,S32537,2.5,98.2,72.5,Yes,Master,Yes
32537,S32538,3.4,53.4,72.6,No,Master,Yes
32538,S32539,15.5,93.9,46.8,Yes,Associate,Yes
32542,S32543,6.3,80.9,72.1,No,High School,No
32544,S32545,5.5,88.3,93.1,No,Associate,No
32547,S32548,17.1,88.4,80.6,No,Associate,No
32549,S32550,9.7,34.9,44.5,No,Associate,Yes
32550,S32551,7.5,62.3,90.6,Yes,Master,No
32551,S32552,13.8,67.1,56.8,No,High School,Yes
32552,S32553,10.1,65.3,91.7,Yes,Master,No
32553,S32554,10.3,93.6,74.6,Yes,High School,Yes
32556,S32557,13.8,72.6,69.4,No,Associate,Yes
32557,S32558,4.5,77.3,83.4,Yes,High School,Yes
32560,S32561,12.4,82.4,64.9,No,Master,No
32561,S32562,12.8,92.0,57.9,No,Bachelor,Yes
32563,S32564,6.9,59.4,72.0,No,High School,No
32564,S32565,2.7,63.6,58.2,Yes,Bachelor,No
32567,S32568,4.0,93.1,67.6,Yes,Bachelor,No
32569,S32570,4.8,86.7,45.0,No,High School,No
32571,S32572,4.3,78.1,65.9,Yes,Bachelor,No
32576,S32577,12.6,54.3,70.9,No,Bachelor,No
32578,S32579,14.8,35.1,55.9,Yes,Bachelor,Yes
32580,S32581,8.0,57.0,57.9,No,Bachelor,No
32581,S32582,8.0,80.6,78.0,Yes,High School,Yes
32582,S32583,7.2,48.1,72.5,No,Bachelor,Yes
32583,S32584,9.7,79.6,74.7,No,Associate,No
32589,S32590,6.7,47.4,69.6,No,Associate,No
32590,S32591,10.2,97.2,42.1,Yes,Master,Yes
32591,S32592,6.2,91.2,83.6,Yes,Master,Yes
32593,S32594,14.0,85.9,67.9,No,Associate,Yes
32595,S32596,13.9,37.5,64.6,Yes,Master,Yes
32598,S32599,15.0,64.1,64.5,No,Bachelor,No
32600,S32601,14.6,85.2,61.6,Yes,High School,No
32601,S32602,9.4,91.0,75.1,No,Master,No
32602,S32603,11.6,65.7,89.3,No,Bachelor,No
32603,S32604,11.7,80.5,91.6,Yes,Associate,Yes
32605,S32606,1.8,61.6,75.1,Yes,Master,No
32609,S32610,6.1,79.9,33.8,No,Associate,No
32611,S32612,3.0,47.4,63.7,Yes,Bachelor,No
32613,S32614,16.6,57.5,49.5,No,Associate,No
32615,S32616,10.4,79.0,71.2,Yes,Bachelor,Yes
32618,S32619,9.4,54.4,64.2,No,High School,No
32620,S32621,6.0,99.2,58.4,Yes,High School,Yes
32623,S32624,8.1,84.2,78.2,No,Associate,No
32624,S32625,12.7,84.2,66.5,No,Associate,Yes
32625,S32626,12.3,60.3,71.3,No,Master,Yes
32626,S32627,11.1,35.1,79.5,Yes,Master,Yes
32628,S32629,14.1,59.7,51.1,No,Bachelor,Yes
32629,S32630,3.7,69.4,60.9,Yes,Bachelor,No
32630,S32631,12.3,94.2,79.1,Yes,Associate,No
32632,S32633,3.3,78.0,61.9,No,High School,No
32633,S32634,2.9,51.3,48.3,No,High School,No
32635,S32636,13.5,59.6,63.3,Yes,Master,No
32636,S32637,4.8,77.5,83.2,Yes,Master,No
32638,S32639,11.4,93.1,72.5,No,Associate,Yes
32639,S32640,16.0,58.0,58.9,No,Associate,No
32641,S32642,9.2,45.6,46.1,No,High School,No
32644,S32645,22.0,96.0,68.5,Yes,Associate,Yes
32646,S32647,9.8,79.1,46.3,No,Bachelor,Yes
32648,S32649,8.1,96.7,70.8,Yes,Bachelor,Yes
32650,S32651,7.7,64.1,61.6,No,Associate,No
32651,S32652,14.3,74.7,57.2,Yes,Associate,Yes
32652,S32653,8.8,57.2,53.1,Yes,High School,No
32653,S32654,14.7,55.6,70.8,No,Bachelor,Yes
32655,S32656,11.3,69.5,57.4,Yes,High School,Yes
32656,S32657,13.1,75.0,62.4,Yes,Associate,Yes
32657,S32658,6.4,74.1,69.7,No,Master,No
32659,S32660,13.4,90.2,65.8,Yes,High School,Yes
32660,S32661,8.9,96.8,86.2,No,Bachelor,Yes
32661,S32662,6.5,93.3,45.9,Yes,Associate,Yes
32662,S32663,10.5,89.1,60.0,No,Associate,Yes
32663,S32664,3.9,24.9,87.6,Yes,Bachelor,Yes
32665,S32666,12.2,45.2,52.4,Yes,Master,Yes
32666,S32667,9.6,39.5,69.6,No,Master,Yes
32667,S32668,15.2,97.9,69.7,No,Bachelor,No
32670,S32671,9.3,84.4,54.9,Yes,High School,Yes
32672,S32673,12.7,98.4,73.6,No,Master,No
32673,S32674,2.6,80.6,53.2,No,High School,No
32674,S32675,7.7,64.6,65.8,No,Master,Yes
32682,S32683,15.4,56.2,81.4,No,Master,No
32683,S32684,17.6,29.9,65.9,Yes,Master,Yes
32688,S32689,20.4,79.2,55.0,Yes,Bachelor,No
32691,S32692,11.5,48.9,80.7,No,Associate,Yes
32693,S32694,8.2,79.4,47.1,Yes,High School,No
32694,S32695,10.7,64.8,56.4,No,High School,Yes
32695,S32696,10.8,91.1,98.6,Yes,Master,No
32696,S32697,15.1,72.8,94.0,No,Bachelor,No
32698,S32699,12.6,81.3,76.3,No,Master,Yes
32699,S32700,5.0,65.8,71.6,No,Master,No
32701,S32702,5.6,67.1,75.3,No,Bachelor,No
32705,S32706,17.0,81.2,59.2,No,Associate,No
32707,S32708,8.2,43.5,76.1,No,Bachelor,No
32710,S32711,11.5,74.4,74.2,No,Master,Yes
32711,S32712,8.8,61.3,64.6,No,High School,Yes
32713,S32714,10.4,57.3,82.8,Yes,High School,No
32714,S32715,8.5,35.2,66.9,No,Associate,No
32716,S32717,16.2,69.5,52.3,No,High School,No
32717,S32718,3.2,87.3,31.4,No,Bachelor,No
32718,S32719,3.9,70.6,55.8,Yes,Bachelor,No
32722,S32723,14.9,87.9,61.5,No,Associate,No
32723,S32724,11.7,91.3,43.0,No,Bachelor,No
32724,S32725,21.0,47.8,57.5,Yes,Bachelor,Yes
32726,S32727,15.5,90.5,37.7,No,High School,Yes
32727,S32728,2.8,57.5,60.9,No,High School,No
32729,S32730,14.7,65.1,69.9,No,Bachelor,Yes
32730,S32731,18.0,95.4,79.7,Yes,Bachelor,No
32736,S32737,5.4,78.5,44.4,No,High School,No
32740,S32741,6.0,85.5,77.4,Yes,Master,Yes
32742,S32743,10.9,81.4,53.0,No,Master,Yes
32743,S32744,11.9,68.0,59.6,Yes,High School,Yes
32744,S32745,5.0,22.2,63.0,Yes,Bachelor,No
32745,S32746,7.3,76.8,85.5,No,Bachelor,No
32747,S32748,15.8,53.1,82.1,Yes,Bachelor,No
32748,S32749,2.6,62.1,57.9,No,High School,Yes
32750,S32751,17.3,86.1,80.6,Yes,Associate,No
32751,S32752,8.9,68.4,61.1,No,Bachelor,No
32755,S32756,14.7,92.7,70.5,Yes,Master,Yes
32759,S32760,9.8,85.1,95.4,No,Associate,Yes
32762,S32763,20.2,41.2,66.9,Yes,High School,No
32763,S32764,20.6,79.2,62.5,Yes,Associate,Yes
32764,S32765,8.1,43.0,56.7,No,Associate,No
32765,S32766,8.6,63.3,37.2,Yes,Associate,Yes
32766,S32767,4.9,86.7,55.5,No,Associate,Yes
32768,S32769,4.6,79.4,78.1,No,Bachelor,Yes
32769,S32770,7.4,52.0,63.3,No,Master,No
32770,S32771,13.5,87.0,70.4,No,Bachelor,Yes
32772,S32773,0.9,69.2,70.9,No,Master,Yes
32774,S32775,4.6,61.6,73.1,Yes,High School,No
32775,S32776,5.2,87.7,56.5,Yes,Associate,No
32777,S32778,6.7,95.6,63.8,Yes,Master,Yes
32781,S32782,10.6,52.4,68.9,Yes,Master,Yes
32788,S32789,12.2,81.9,64.5,No,Associate,No
32789,S32790,7.5,91.5,62.8,No,High School,Yes
32791,S32792,19.5,85.8,64.6,No,High School,Yes
32793,S32794,0.6,75.3,71.7,No,Associate,Yes
32794,S32795,14.4,70.9,46.5,No,Bachelor,Yes
32795,S32796,11.6,68.6,84.9,No,Bachelor,Yes
32799,S32800,12.2,70.3,70.8,No,High School,Yes
32800,S32801,19.5,89.9,32.1,Yes,Master,Yes
32807,S32808,13.2,92.3,71.0,Yes,Associate,Yes
32808,S32809,15.8,57.5,55.5,Yes,Associate,No
32809,S32810,7.4,62.0,64.5,No,Master,No
32812,S32813,3.5,71.5,77.6,No,Master,No
32813,S32814,17.6,25.1,49.2,Yes,High School,No
32814,S32815,16.5,63.9,54.5,Yes,Associate,Yes
32815,S32816,3.6,67.4,42.8,Yes,High School,No
32818,S32819,17.1,77.3,60.3,No,Bachelor,Yes
32821,S32822,9.1,86.8,50.9,Yes,High School,Yes
32824,S32825,9.0,72.5,38.8,No,Master,No
32827,S32828,5.6,61.1,36.4,Yes,High School,No
32828,S32829,11.4,34.2,70.9,Yes,Associate,Yes
32831,S32832,7.7,56.1,91.7,Yes,Master,No
32832,S32833,12.9,95.5,56.2,Yes,Master,No
32833,S32834,6.0,58.8,71.5,Yes,Bachelor,Yes
32835,S32836,14.5,76.3,57.1,No,Bachelor,No
32836,S32837,11.2,66.1,55.4,Yes,Associate,No
32838,S32839,9.9,99.2,59.5,Yes,High School,No
32842,S32843,7.2,65.5,72.4,No,Master,Yes
32844,S32845,6.8,97.1,72.7,Yes,Master,Yes
32845,S32846,12.0,59.2,77.0,No,Master,Yes
32846,S32847,13.0,86.4,73.8,Yes,Master,Yes
32847,S32848,15.3,81.9,82.4,Yes,High School,Yes
32850,S32851,13.3,39.1,61.1,Yes,Bachelor,Yes
32851,S32852,10.8,54.7,33.2,Yes,High School,No
32852,S32853,10.3,55.7,45.6,No,High School,Yes
32855,S32856,4.0,69.7,79.7,Yes,Associate,No
32856,S32857,12.4,75.7,55.2,Yes,Associate,Yes
32858,S32859,7.4,85.8,65.5,No,Associate,Yes
32862,S32863,10.4,73.6,54.9,No,Master,No
32863,S32864,6.3,63.7,59.8,No,High School,No
32864,S32865,1.7,48.3,92.3,No,Associate,No
32865,S32866,7.3,93.7,38.5,Yes,Bachelor,Yes
32867,S32868,11.5,97.6,56.9,Yes,Associate,No
32868,S32869,8.2,84.6,69.7,Yes,Bachelor,No
32869,S32870,6.4,85.3,80.2,No,Bachelor,No
32873,S32874,16.6,92.7,46.7,Yes,Master,No
32876,S32877,8.8,60.1,42.8,Yes,Associate,Yes
32880,S32881,10.1,73.5,67.7,No,Bachelor,No
32882,S32883,0.3,68.4,75.4,Yes,High School,No
32885,S32886,12.4,66.3,66.0,No,High School,Yes
32886,S32887,17.7,66.1,86.9,Yes,High School,Yes
32888,S32889,7.7,61.1,73.1,No,Master,Yes
32890,S32891,13.1,40.5,56.6,No,Associate,Yes
32891,S32892,9.5,44.0,68.3,Yes,Associate,No
32892,S32893,3.7,71.1,56.6,No,Master,No
32893,S32894,15.8,84.1,71.4,Yes,Bachelor,No
32894,S32895,22.6,41.5,40.7,Yes,Master,No
32895,S32896,2.1,78.6,55.3,Yes,Bachelor,Yes
32898,S32899,8.3,55.2,76.9,No,Associate,Yes
32899,S32900,11.3,73.8,87.6,No,High School,No
32902,S32903,1.9,94.1,69.9,No,Master,Yes
32905,S32906,6.8,41.4,75.9,No,Bachelor,Yes
32910,S32911,14.6,79.7,59.0,No,Bachelor,No
32911,S32912,7.5,68.4,31.4,Yes,Bachelor,Yes
32915,S32916,3.9,59.4,52.4,Yes,Master,Yes
32918,S32919,2.3,88.6,67.5,No,High School,No
32925,S32926,12.9,70.9,78.4,No,Bachelor,No
32928,S32929,1.9,80.7,46.0,Yes,Master,No
32929,S32930,8.4,92.1,60.7,Yes,Bachelor,Yes
32930,S32931,12.6,71.7,67.0,Yes,Associate,Yes
32932,S32933,17.9,68.1,47.1,Yes,Master,No
32933,S32934,8.1,76.0,83.2,No,Associate,Yes
32934,S32935,0.8,89.5,73.5,Yes,Bachelor,Yes
32935,S32936,16.0,77.4,37.3,No,Associate,Yes
32936,S32937,11.0,61.5,75.9,Yes,Master,Yes
32939,S32940,16.3,84.9,64.0,No,High School,Yes
32942,S32943,12.8,69.4,68.5,No,Bachelor,No
32944,S32945,8.8,82.0,55.1,No,High School,No
32945,S32946,13.1,72.7,61.6,Yes,Associate,No
32948,S32949,10.8,88.0,62.0,Yes,High School,No
32949,S32950,11.9,58.0,65.6,Yes,Associate,Yes
32950,S32951,17.2,65.4,81.7,Yes,High School,Yes
32952,S32953,10.4,91.3,67.6,No,Bachelor,No
32953,S32954,9.6,82.7,50.9,Yes,Associate,No
32954,S32955,9.3,68.8,64.2,Yes,Bachelor,Yes
32956,S32957,16.8,66.4,91.0,No,Master,Yes
32958,S32959,6.6,98.4,59.2,No,High School,Yes
32959,S32960,16.4,87.9,56.8,No,Master,No
32960,S32961,7.2,59.4,53.4,No,Bachelor,Yes
32963,S32964,1.6,79.7,75.6,Yes,Associate,Yes
32964,S32965,11.0,100.0,74.5,Yes,Bachelor,No
32967,S32968,2.6,56.0,50.5,No,Master,No
32968,S32969,10.5,94.8,71.2,No,Associate,No
32969,S32970,6.2,24.6,52.1,Yes,High School,No
32971,S32972,9.6,53.8,49.0,No,Master,No
32972,S32973,12.6,75.3,88.0,No,Associate,No
32974,S32975,18.8,57.5,58.5,Yes,High School,Yes
32975,S32976,13.3,71.4,57.2,Yes,High School,No
32976,S32977,14.7,72.4,83.0,Yes,High School,Yes
32977,S32978,3.6,51.9,71.2,Yes,Bachelor,Yes
32978,S32979,18.1,48.1,95.7,No,High School,Yes
32979,S32980,16.3,58.0,81.3,No,Associate,No
32983,S32984,17.4,67.9,67.9,Yes,Bachelor,No
32985,S32986,6.3,75.0,60.1,Yes,Bachelor,Yes
32986,S32987,7.6,72.1,52.3,Yes,Bachelor,No
32987,S32988,14.5,77.2,74.6,No,Associate,Yes
32990,S32991,14.5,62.6,38.0,Yes,Associate,Yes
32991,S32992,11.4,74.1,95.2,Yes,Master,No
32993,S32994,3.5,87.7,52.4,No,High School,No
32997,S32998,7.1,80.7,60.8,No,High School,Yes
33000,S33001,7.4,86.0,51.1,No,Bachelor,No
33001,S33002,13.5,65.5,79.3,Yes,Master,Yes
33003,S33004,8.4,65.4,50.2,No,Bachelor,Yes
33005,S33006,5.9,78.2,55.4,Yes,High School,No
33007,S33008,12.4,61.3,35.0,No,Associate,Yes
33009,S33010,6.9,80.1,84.6,Yes,High School,Yes
33016,S33017,14.8,63.8,82.6,No,Associate,Yes
33018,S33019,16.9,78.9,73.4,No,Master,No
33023,S33024,18.2,92.7,63.2,No,Master,No
33024,S33025,17.7,54.3,67.0,Yes,Associate,Yes
33025,S33026,3.0,68.7,74.4,No,Master,No
33026,S33027,15.1,50.7,90.7,Yes,High School,No
33027,S33028,19.0,89.9,55.4,No,Associate,No
33030,S33031,14.1,71.2,55.1,Yes,Master,No
33033,S33034,4.0,79.6,74.8,No,Bachelor,No
33034,S33035,14.9,63.5,73.7,Yes,Associate,No
33036,S33037,12.0,52.6,30.4,No,Bachelor,Yes
33037,S33038,17.8,60.1,97.3,Yes,Bachelor,No
33039,S33040,14.5,80.5,78.0,Yes,Associate,No
33042,S33043,12.6,67.8,97.4,No,Associate,No
33043,S33044,6.1,63.2,81.8,No,Associate,Yes
33044,S33045,4.1,69.0,54.8,Yes,Bachelor,No
33045,S33046,1.1,66.5,79.0,Yes,High School,Yes
33048,S33049,12.8,71.2,75.3,No,Master,Yes
33051,S33052,13.3,65.2,67.6,No,Master,Yes
33052,S33053,11.6,65.1,67.6,Yes,Bachelor,Yes
33053,S33054,8.8,63.3,61.8,Yes,Master,No
33054,S33055,11.5,88.7,34.1,No,Associate,Yes
33055,S33056,5.2,88.4,89.0,No,Master,Yes
33056,S33057,15.3,93.0,84.9,No,High School,Yes
33058,S33059,13.8,67.7,61.0,No,High School,No
33062,S33063,16.4,68.2,67.1,No,High School,No
33063,S33064,20.0,46.5,71.2,No,Master,No
33064,S33065,6.1,83.1,51.1,No,Associate,No
33065,S33066,5.6,55.9,61.2,Yes,Bachelor,Yes
33066,S33067,10.7,97.6,69.6,No,Master,Yes
33067,S33068,12.0,79.6,55.8,Yes,High School,Yes
33069,S33070,8.1,77.0,51.1,No,Associate,Yes
33070,S33071,16.3,98.2,95.8,Yes,Master,No
33072,S33073,3.9,94.7,60.5,No,Associate,Yes
33074,S33075,11.2,79.8,34.6,Yes,Master,Yes
33075,S33076,25.0,93.6,71.2,No,Master,No
33077,S33078,8.4,59.2,68.5,No,High School,No
33080,S33081,12.3,89.3,64.6,No,Bachelor,Yes
33081,S33082,19.4,68.1,42.0,No,High School,Yes
33084,S33085,7.6,70.3,62.1,No,Master,Yes
33087,S33088,7.1,89.5,56.0,Yes,Master,No
33090,S33091,14.6,85.1,49.9,Yes,High School,Yes
33091,S33092,10.6,50.7,77.6,No,Master,Yes
33095,S33096,9.9,66.6,77.9,No,Master,Yes
33101,S33102,6.1,43.6,73.0,No,Associate,Yes
33102,S33103,5.5,62.9,78.5,No,High School,No
33104,S33105,10.0,82.3,79.3,Yes,Associate,Yes
33105,S33106,3.4,78.1,70.2,Yes,Associate,Yes
33108,S33109,2.7,76.1,51.6,No,Associate,Yes
33114,S33115,19.0,43.5,55.7,No,Bachelor,No
33119,S33120,15.7,49.2,71.3,No,Associate,Yes
33122,S33123,7.0,92.9,73.0,No,Master,Yes
33125,S33126,15.0,86.6,92.7,Yes,Master,No
33126,S33127,11.5,57.6,72.6,No,Associate,No
33127,S33128,11.4,95.2,58.6,No,High School,No
33130,S33131,9.4,63.4,88.4,No,High School,No
33134,S33135,14.3,84.0,50.4,No,High School,Yes
33136,S33137,13.8,82.3,70.4,No,Bachelor,Yes
33137,S33138,12.3,92.3,68.6,Yes,Associate,Yes
33140,S33141,14.3,93.3,62.5,No,Associate,Yes
33141,S33142,19.9,97.6,48.6,No,High School,Yes
33142,S33143,6.9,63.2,51.8,Yes,Associate,No
33145,S33146,5.4,81.2,72.0,No,High School,No
33146,S33147,6.7,82.8,51.8,Yes,Master,Yes
33147,S33148,10.8,78.9,80.8,No,Bachelor,Yes
33151,S33152,11.8,86.1,81.6,No,Bachelor,No
33152,S33153,11.4,90.8,77.4,No,Associate,No
33153,S33154,18.3,40.8,46.3,No,High School,Yes
33154,S33155,15.8,81.7,78.0,Yes,High School,Yes
33157,S33158,14.2,93.0,75.1,No,High School,Yes
33158,S33159,6.7,61.4,72.4,Yes,High School,Yes
33160,S33161,4.7,52.3,71.8,No,High School,Yes
33161,S33162,13.4,74.6,43.2,Yes,High School,Yes
33162,S33163,6.8,99.7,78.6,No,Associate,No
33163,S33164,9.8,98.6,71.6,No,Bachelor,Yes
33164,S33165,9.9,49.0,72.7,No,Master,Yes
33168,S33169,6.3,73.5,62.5,No,High School,No
33169,S33170,0.7,78.0,74.2,No,Bachelor,Yes
33171,S33172,9.2,50.7,71.5,Yes,Master,Yes
33174,S33175,14.3,65.2,80.7,Yes,High School,Yes
33175,S33176,15.6,66.1,58.0,No,Associate,Yes
33178,S33179,14.8,65.5,67.1,No,Master,No
33179,S33180,18.0,81.5,91.7,No,Master,No
33185,S33186,17.8,57.9,53.8,No,Associate,No
33186,S33187,7.7,62.8,74.8,Yes,Associate,No
33188,S33189,9.3,78.4,80.3,Yes,High School,No
33190,S33191,1.2,62.8,86.4,No,Bachelor,Yes
33191,S33192,12.6,47.3,58.0,Yes,Associate,Yes
33192,S33193,14.9,75.3,47.1,Yes,Master,Yes
33193,S33194,13.0,68.3,32.4,No,Associate,No
33197,S33198,12.0,86.9,88.6,Yes,High School,No
33206,S33207,8.4,74.2,81.5,Yes,Associate,Yes
33210,S33211,4.3,90.0,72.0,No,High School,No
33211,S33212,15.7,41.2,59.8,Yes,High School,No
33215,S33216,10.8,95.4,70.2,Yes,High School,No
33216,S33217,17.8,67.7,68.7,No,Associate,Yes
33217,S33218,9.3,42.1,41.5,Yes,Bachelor,Yes
33218,S33219,13.1,48.6,47.9,Yes,Bachelor,Yes
33220,S33221,9.5,85.0,74.9,Yes,Associate,No
33222,S33223,13.5,75.4,41.5,Yes,High School,Yes
33223,S33224,6.3,71.0,43.2,No,High School,Yes
33225,S33226,10.4,58.2,73.9,No,Bachelor,No
33226,S33227,11.0,69.3,51.1,No,Master,Yes
33230,S33231,13.1,75.1,98.6,Yes,Master,Yes
33232,S33233,19.6,66.6,29.6,Yes,High School,Yes
33241,S33242,11.4,63.5,59.2,No,Bachelor,No
33244,S33245,10.8,93.8,67.6,No,High School,No
33245,S33246,14.8,91.5,45.4,No,Master,No
33247,S33248,16.0,91.0,62.8,Yes,Associate,No
33248,S33249,14.6,79.3,60.3,Yes,Associate,No
33249,S33250,6.0,49.0,72.4,No,Master,No
33252,S33253,13.3,83.5,46.7,No,High School,No
33253,S33254,16.3,79.3,53.5,No,Associate,No
33255,S33256,9.5,83.4,72.3,Yes,Bachelor,Yes
33257,S33258,8.5,42.2,60.5,Yes,Associate,No
33258,S33259,11.1,65.3,76.0,Yes,Master,Yes
33262,S33263,14.3,47.8,65.3,Yes,High School,Yes
33263,S33264,9.7,68.9,63.4,No,High School,Yes
33264,S33265,5.8,86.4,82.4,No,Bachelor,No
33265,S33266,11.9,59.1,58.4,No,Associate,Yes
33267,S33268,11.6,78.8,31.6,No,Master,No
33269,S33270,12.7,34.9,65.8,No,High School,Yes
33270,S33271,13.0,81.2,62.7,No,High School,No
33271,S33272,12.9,40.1,54.0,Yes,Master,No
33273,S33274,11.9,70.6,56.0,No,High School,Yes
33274,S33275,16.6,70.4,57.2,Yes,Bachelor,Yes
33275,S33276,11.2,52.9,67.9,No,Associate,No
33277,S33278,16.0,57.4,48.6,No,Master,Yes
33279,S33280,13.9,58.9,56.1,No,Associate,Yes
33280,S33281,21.5,95.8,75.2,Yes,Associate,Yes
33281,S33282,15.4,63.7,79.9,No,Associate,Yes
33284,S33285,8.7,71.7,31.7,Yes,High School,Yes
33285,S33286,20.3,71.1,57.5,Yes,Associate,No
33290,S33291,3.2,58.4,66.4,Yes,Master,Yes
33291,S33292,2.0,77.6,58.3,Yes,High School,Yes
33297,S33298,14.2,83.4,71.3,No,Master,No
33299,S33300,10.0,72.6,46.9,Yes,High School,No
33301,S33302,4.5,60.3,82.9,Yes,Associate,No
33302,S33303,8.2,62.3,53.9,No,High School,No
33303,S33304,4.5,84.0,61.7,Yes,Bachelor,No
33304,S33305,1.0,67.0,71.1,No,Master,Yes
33305,S33306,19.8,69.3,65.3,No,High School,Yes
33307,S33308,23.0,71.6,56.2,Yes,Master,No
33308,S33309,5.8,93.4,90.2,Yes,Bachelor,No
33310,S33311,6.1,79.6,65.6,Yes,Bachelor,No
